timestamp,Crop_Type,Soil_Type,Soil_Moisture,Irrigation_Need
2024-01-03,Cotton,Clay,8.96,Low
2024-01-04,Cotton,Clay,33.17,Medium
2024-01-05,Cotton,Clay,12.51,Medium
2024-01-06,Cotton,Clay,21.85,High
2024-01-07,Cotton,Clay,31.17,Medium
2024-01-08,Cotton,Clay,17.76,Medium
2024-01-09,Cotton,Clay,48.24,Medium
2024-01-10,Cotton,Clay,16.53,Low
2024-01-11,Cotton,Clay,50.63,Low
2024-01-12,Cotton,Clay,27.42,Medium
2024-01-13,Cotton,Clay,42.98,Low
2024-01-14,Cotton,Clay,56.65,Medium
2024-01-15,Cotton,Clay,29.61,Low
2024-01-16,Cotton,Clay,56.34,Medium
2024-01-17,Cotton,Clay,15.44,Low
2024-01-18,Cotton,Clay,54.1,Low
2024-01-19,Cotton,Clay,17.52,Medium
2024-01-20,Cotton,Clay,56.05,Low
2024-01-21,Cotton,Clay,32.81,Low
2024-01-22,Cotton,Clay,58.38,Medium
2024-01-23,Cotton,Clay,13.48,Medium
2024-01-24,Cotton,Clay,64.04,Medium
2024-01-25,Cotton,Clay,58.18,Low
2024-01-26,Cotton,Clay,14.97,Medium
2024-01-27,Cotton,Clay,59.73,Low
2024-01-28,Cotton,Clay,25.9,Low
2024-01-29,Cotton,Clay,10.13,Medium
2024-01-30,Cotton,Clay,36.52,Medium
2024-01-31,Cotton,Clay,19.16,High
2024-02-01,Cotton,Clay,60.9,Medium
2024-02-02,Cotton,Clay,58.12,Low
2024-02-03,Cotton,Clay,10.23,Medium
2024-02-04,Cotton,Clay,16.62,Medium
2024-02-05,Cotton,Clay,54.19,Low
2024-02-06,Cotton,Clay,44.44,Low
2024-02-07,Cotton,Clay,46.73,Low
2024-02-08,Cotton,Clay,35.18,Low
2024-02-09,Cotton,Clay,33.06,Low
2024-02-10,Cotton,Clay,44.01,Low
2024-02-11,Cotton,Clay,49.86,Low
2024-02-12,Cotton,Clay,27.31,Low
2024-02-13,Cotton,Clay,52.85,Low
2024-02-14,Cotton,Clay,60.88,Low
2024-02-15,Cotton,Clay,53.02,Low
2024-02-16,Cotton,Clay,31.68,Medium
2024-02-17,Cotton,Clay,41.26,Low
2024-02-18,Cotton,Clay,27.67,Medium
2024-02-19,Cotton,Clay,34.18,Low
2024-02-20,Cotton,Clay,23.36,High
2024-02-21,Cotton,Clay,52.74,Low
2024-02-22,Cotton,Clay,44.91,High
2024-02-23,Cotton,Clay,17.44,Medium
2024-02-24,Cotton,Clay,25.22,Low
2024-02-25,Cotton,Clay,60.7,Low
2024-02-26,Cotton,Clay,44.02,Medium
2024-02-27,Cotton,Clay,33.03,Low
2024-02-28,Cotton,Clay,33.69,Low
2024-02-29,Cotton,Clay,11.11,Medium
2024-03-01,Cotton,Clay,43.76,Low
2024-03-02,Cotton,Clay,8.01,High
2024-03-03,Cotton,Clay,63.96,Medium
2024-03-04,Cotton,Clay,53.9,Low
2024-03-05,Cotton,Clay,21.08,High
2024-03-06,Cotton,Clay,16.48,Medium
2024-03-07,Cotton,Clay,40.88,Low
2024-03-08,Cotton,Clay,50.15,Low
2024-03-09,Cotton,Clay,60.48,Medium
2024-03-10,Cotton,Clay,34.98,Medium
2024-03-11,Cotton,Clay,51.3,Low
2024-03-12,Cotton,Clay,63.13,Low
2024-03-13,Cotton,Clay,19.77,Medium
2024-03-14,Cotton,Clay,8.91,Medium
2024-03-15,Cotton,Clay,44.69,Low
2024-03-16,Cotton,Clay,56.49,Medium
